dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n80-k10,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,2015.0,2206.766666666667,2212.0,97.41722687468594,14.293817356778218,25.17110985063339,25.46795235394214,5.525650985518202,35.05388542257516,12.880685470000026,1.6250660270710204,12.577128800000082,10.260685266666663,1.9391123213295105,167.9,167.0,6677.333333333333,0.0,0.0,0.0,0.0
A-n80-k10,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,WOA,WOA,none,30,True,1405.0,1703.9333333333334,1685.5,147.28951863201462,89.60863697705803,129.95051731893838,127.46288798920378,19.87712802051479,191.49797570850205,0.2517990399999841,0.017392252923324795,0.24489575000006875,0.1012240100000326,0.037604748111592055,74.9,77.0,2971.733333333333,0.0,0.0,0.0,0.0
B-n50-k7,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,SSA,SSA,none,30,True,1815.0,1988.1,1992.0,82.99578302540436,144.93927125506073,168.29959514170042,168.82591093117406,11.20051052974418,186.3697705802969,0.25952938000001874,0.014044783641334053,0.25740749999999935,0.17476823000001784,0.018997511543898588,125.3,126.5,4978.1,0.0,0.0,0.0,0.0
B-n50-k7,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,743.0,809.1666666666666,790.5,57.77010522295476,0.2699055330634278,9.19928025191183,6.680161943319838,7.79623552266596,33.46828609986505,8.73844717333333,2.5809335619352254,8.262006400000246,3.8551388100000015,2.629939286826409,97.23333333333333,99.0,3868.4333333333334,0.0,0.0,0.0,0.0
B-n50-k7,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,741.0,747.5333333333333,745.0,8.377858064393672,0.0,0.8816914080071975,0.5398110661268556,1.1306151233999586,5.668016194331984,10.82460090333337,1.0096422231408728,10.860448449999922,7.614805760000051,1.620118238832336,153.9,157.0,6127.333333333333,0.0,0.0,0.0,0.0
B-n50-k7,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
B-n50-k7,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,WOA,WOA,none,30,True,1391.0,1764.4666666666667,1808.0,121.76481948562899,134.56998313659358,197.54918493535695,204.8903878583474,20.533696371944185,204.8903878583474,1.1367560633333444,0.47635252537547623,1.4611214000001382,0.039954630000026206,0.07881548739736338,17.5,5.0,679.0666666666667,0.0,0.0,0.0,0.0
P-n76-k4,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,SSA,SSA,none,30,True,1574.0,1774.6333333333334,1776.5,72.39712479208633,165.43001686340642,199.2636312535132,199.57841483979763,12.208621381464814,228.33052276559863,0.4634247466666542,0.028191436572977638,0.4630456999998387,0.37622714333330504,0.05120685220699879,142.0,143.5,5646.8,0.0,0.0,0.0,0.0
P-n76-k4,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,608.0,646.3666666666667,649.0,20.755528276172313,2.5295109612141653,8.999437886453062,9.443507588532883,3.500089085357895,17.875210792580102,16.064054076666675,2.7702986813826076,16.48051119999991,8.351514500000015,3.629888319964233,84.5,78.0,3357.0333333333333,0.0,0.0,0.0,0.0
P-n76-k4,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,634.0,651.4,652.0,11.196058419726585,6.913996627318719,9.84822934232715,9.949409780775715,1.8880368330061732,14.33389544688027,25.35106516666665,0.7908835046385979,25.33409419999998,22.958215820000078,1.4285989168603346,177.73333333333332,176.5,7076.866666666667,0.0,0.0,0.0,0.0
P-n76-k4,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
P-n76-k4,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
